URL	HLC	DE	EN
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-218.png	050 60 80	Gerberarot	Gerbera red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-219.png	050 70 10	Bambusbeige	Bamboo beige
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-220.png	050 70 20	Bernsteingrau	Amber grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-221.png	050 70 30	Sienaocker	Sienna ochre
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-222.png	050 70 40	Amberhellorange	Light amber orange
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-223.png	050 70 50	Melonenrot	Melon red
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-224.png	050 70 60	Mangoorange	Mango orange
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-225.png	050 80 10	Blasssiena	Pale sienna
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-226.png	050 80 20	Sanftorange	Soft orange
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-227.png	050 80 30	Fahlorange	Pallid orange
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-228.png	050 85 05	Meersand	Ocean sand
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-229.png	050 85 10	Reinbeige	Pure beige
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-230.png	050 85 20	Biscuitcreme	Biscuit cream
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-231.png	050 90 05	Eierschalenweiß	Eggshell white
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-232.png	050 90 10	Hellpfirsichrosé	Light peach rose
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-233.png	050 93 05	Tüllweiß	Tulle white
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-234.png	060 20 05	Industrieschwarz	Industrial black
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-235.png	060 30 05	Karosseriegrau	Vehicle body grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-236.png	060 30 10	Nutriafellbraun	Nutria fur brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-237.png	060 30 20	Torfbraun	Peat brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-238.png	060 30 27	Zinnsteinbraun	Cassiterite brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-239.png	060 40 05	Zinkgrau	Zinc grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-240.png	060 40 10	Mooreichengrau	Moor oak grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-241.png	060 40 20	Kaffeebohnenbraun	Coffee bean brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-242.png	060 40 30	Brasilbraun	Brazilian brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-243.png	060 40 40	Platanenbraun	Plane brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-244.png	060 50 05	Chinchillagrau	Chinchilla grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-245.png	060 50 10	Sandsteingrau	Sandstone grey
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-246.png	060 50 20	Champignonbraun	Mushroom brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-247.png	060 50 30	Senfbraun	Mustard brown
https://www.ral-farben.de/out/ralfarben/img/thumbs/designplus-248.png	060 50 40	Kamelbraun	Camel brown
