HHHLLCC	Hue	Lightness	Chroma	DE	EN	https://www.ral-farben.de/out/ralfarben/img/thumbs/{file}.png	
H080L30C10	80°	30%	10%	Olivschwarz	Olive black	designplus-365	
H080L30C20	80°	30%	20%	Nelkengelbbraun	Clove yellow brown	designplus-366	
H080L30C26	80°	30%	26%	Raucheichenbraun	Smoked oak brown	designplus-367	
H080L40C05	80°	40%	5%	Bürograu	Office grey	designplus-368	
H080L40C10	80°	40%	10%	Steinbraun	Stone brown	designplus-369	
H080L40C20	80°	40%	20%	Pimentkornbraun	Pimento grain brown	designplus-370	
H080L40C30	80°	40%	30%	Ockergrün	Ochre green	designplus-371	
H080L40C40	80°	40%	40%	Herbstlaubbraun	Autumn leaf brown	designplus-372	
H080L50C05	80°	50%	5%	Dämmergrau	Dusk grey	designplus-373	
H080L50C10	80°	50%	10%	Roggenbraun	Rye brown	designplus-374	
H080L50C20	80°	50%	20%	Graugelb	Greyish yellow	designplus-375	
H080L50C30	80°	50%	30%	Chiligrün	Chili green	designplus-376	
H080L50C40	80°	50%	40%	Schmutzgelb	Dirt yellow	designplus-377	
H080L50C50	80°	50%	50%	Gamsgelb	Chamois yellow	designplus-378	
H080L60C05	80°	60%	5%	Flanellgrau	Flannel grey	designplus-379	
H080L60C10	80°	60%	10%	Hellkhaki	Light khaki	designplus-380	
H080L60C20	80°	60%	20%	Dinkelkornbraun	Spelt grain brown	designplus-381	
H080L60C30	80°	60%	30%	Goldquarzocker	Golden quartz ochre	designplus-382	
H080L60C40	80°	60%	40%	Bambusgelb	Bamboo yellow	designplus-383	
H080L60C50	80°	60%	50%	Messinggelb	Brass yellow	designplus-384	
H080L60C60	80°	60%	60%	Feigensenfgelb	Fig mustard yellow	designplus-385	
H080L60C70	80°	60%	70%	Gelbgold	Yellow gold	designplus-386	
H080L70C05	80°	70%	5%	Knoblauchbeige	Garlic beige	designplus-387	
H080L70C10	80°	70%	10%	Feingreige	Fine greige	designplus-388	
H080L70C20	80°	70%	20%	Gelbbraun	Yellow brown	designplus-389	
H080L70C30	80°	70%	30%	Senfkornbeige	Mustard seed beige	designplus-390	
H080L70C40	80°	70%	40%	Diamantgelb	Diamond yellow	designplus-391	
H080L70C50	80°	70%	50%	Antikmessing	Antique brass	designplus-392	
H080L70C60	80°	70%	60%	Zucchinigelb	Courgette yellow	designplus-393	
H080L70C70	80°	70%	70%	Grapefruitgelb	Grapefruit yellow	designplus-394	
H080L70C80	80°	70%	80%	Sonnenblumengelb	Sunflower yellow	designplus-395	
H080L70C88	80°	70%	88%	Arnikagelb	Arnica yellow	designplus-396	
H080L80C05	80°	80%	5%	Glimmerhellgrau	Micaceous light grey	designplus-397	
H080L80C10	80°	80%	10%	Pastellsand	Pastel sand	designplus-398	
H080L80C20	80°	80%	20%	Naturreisbeige	Natural rice beige	designplus-399	
H080L80C30	80°	80%	30%	Gelbbeige	Yellow beige	designplus-400	
H080L80C40	80°	80%	40%	Strohgelb	Straw yellow	designplus-401	
H080L80C50	80°	80%	50%	Mirabellengelb	Mirabelle yellow	designplus-402	
H080L80C60	80°	80%	60%	Vollgelb	Full yellow	designplus-403	
H080L80C70	80°	80%	70%	Birnengelb	Pear yellow	designplus-404	
H080L80C80	80°	80%	80%	Brandgelb	Fire yellow	designplus-405	
H080L80C90	80°	80%	90%	Sommergelb	Summer yellow	designplus-406	
H080L85C05	80°	85%	5%	Weizenmehlweiß	Wheat flour white	designplus-407	
H080L85C10	80°	85%	10%	Zwiebelweiß	Onion white	designplus-408	
H080L85C20	80°	85%	20%	Nashibirnenbeige	Nashi pear beige	designplus-409	
H080L85C30	80°	85%	30%	Vespagelb	Vespa yellow	designplus-410	
H080L85C40	80°	85%	40%	Blätterteiggelb	Puff pastry yellow	designplus-411	
H080L90C05	80°	90%	5%	Japanweiß	Japanese white	designplus-412	
H080L90C10	80°	90%	10%	Champignonweiß	Mushroom white	designplus-413	
H080L90C20	80°	90%	20%	Macadamiabeige	Macadamia beige	designplus-414	
H080L90C30	80°	90%	30%	Meerrettichgelb	Horseradish yellow	designplus-415	
H080L93C05	80°	93%	5%	Milchsternweiß	Milk star white	designplus-416	
H085L40C10	85°	40%	10%	Mineralgrün	Mineral green	designplus-417	
H085L40C20	85°	40%	20%	Khakigrün	Khaki green	designplus-418	
H085L40C30	85°	40%	30%	Moosbraun	Moss brown	designplus-419	
H085L50C10	85°	50%	10%	Korianderocker	Coriander ochre	designplus-420	
H085L50C20	85°	50%	20%	Pyritschiefergrün	Pyrite slate green	designplus-421	
H085L50C30	85°	50%	30%	Sepiagelb	Sepia yellow	designplus-422	
H085L50C40	85°	50%	40%	Sumpfgrün	Marshy green	designplus-423	
H085L50C50	85°	50%	50%	Honiggelbgrün	Honey yellow green	designplus-424	
H085L60C10	85°	60%	10%	Mattoliv	Matte olive	designplus-425	
H085L60C20	85°	60%	20%	Teichgrün	Pond green	designplus-426	
H085L60C30	85°	60%	30%	Holzgrün	Wood green	designplus-427	
H085L60C40	85°	60%	40%	Flechtengrün	Lichen green	designplus-428	
H085L60C50	85°	60%	50%	Mineralumbra	Mineral umber	designplus-429	
H085L60C60	85°	60%	60%	Lodengelb	Loden yellow	designplus-430	
H085L70C10	85°	70%	10%	Naturbastgreige	Raffia greige	designplus-431	
H085L70C20	85°	70%	20%	Feldspatgrau	Feldspar grey	designplus-432	
H085L70C30	85°	70%	30%	Heugelb	Hay yellow	designplus-433	
H085L70C40	85°	70%	40%	Winterbirnenbeige	Winter pear beige	designplus-434	
H085L70C50	85°	70%	50%	Herbstapfelgelb	Autumn apple yellow	designplus-435	
H085L70C60	85°	70%	60%	Pitmastonbirnengelb	Pitmaston pear yellow	designplus-436	
H085L70C70	85°	70%	70%	Strohblumengelb	Immortelle yellow	designplus-437	
H085L70C75	85°	70%	75%	Goldberyllgelb	Golden beryl yellow	designplus-438	
H085L80C10	85°	80%	10%	Samtbeige	Velvet beige	designplus-439	
H085L80C20	85°	80%	20%	Mineralbeige	Mineral beige	designplus-440	
H085L80C30	85°	80%	30%	Mondscheingelb	Moonlight yellow	designplus-441	
H085L80C40	85°	80%	40%	Tafelbirnengelb	Table pear yellow	designplus-442	
H085L80C50	85°	80%	50%	Fruchtgelb	Fruit yellow	designplus-443	
H085L80C60	85°	80%	60%	Adonisröschengelb	Adonis rose yellow	designplus-444	
H085L80C70	85°	80%	70%	Berberitzengelb	Barberry yellow	designplus-445	
H085L80C80	85°	80%	80%	Löwenzahngelb	Dandelion yellow	designplus-446	
H085L80C85	85°	80%	85%	Dekorgelb	Decor yellow	designplus-447	
H085L85C10	85°	85%	10%	Alabasterweiß	Alabaster white	designplus-448	
H085L85C20	85°	85%	20%	Hellblond	Light blond	designplus-449	
H085L85C30	85°	85%	30%	Weidenblütengelb	Willow-flower yellow	designplus-450	
H085L85C40	85°	85%	40%	Ingwerhellgelb	Light ginger yellow	designplus-451	
H085L90C10	85°	90%	10%	Tulpenweiß	Tulip white	designplus-452	
H085L90C20	85°	90%	20%	Alpenbeerengelb	Alpine berry yellow	designplus-453	
H085L90C30	85°	90%	30%	Porzellanerdengelb	Porcelain yellow	designplus-454	
H085L93C05	85°	93%	5%	Altweiß	Vintage white	designplus-455	
H090L30C10	90°	30%	10%	Limonitbraun	Limonite brown	designplus-456	
H090L30C20	90°	30%	20%	Borkengrün	Bark green	designplus-457	
H090L40C10	90°	40%	10%	Wackersteinbraun	Boulder brown	designplus-458	
H090L40C20	90°	40%	20%	Pflaumengrün	Plum green	designplus-459	
H090L40C30	90°	40%	30%	Weinblättergrün	Vine leaf green	designplus-460	
H090L50C10	90°	50%	10%	Graphitgraugrün	Graphite grey green	designplus-461	
H090L50C20	90°	50%	20%	Pestogrün	Pesto green	designplus-462	
H090L50C30	90°	50%	30%	Riesenkaktusgrün	Giant cactus green	designplus-463	
H090L50C40	90°	50%	40%	Auberginengrün	Aubergine green	designplus-464	
H090L60C10	90°	60%	10%	Austerngrau	Oyster grey	designplus-465	
H090L60C20	90°	60%	20%	Manzanillaoliv	Manzanilla olive	designplus-466	
H090L60C30	90°	60%	30%	Tarnoliv	Camouflage olive	designplus-467	
H090L60C40	90°	60%	40%	Lorbeergrün	Laurel green	designplus-468	
H090L60C50	90°	60%	50%	Fahlgrün	Faint green	designplus-469	
H090L60C60	90°	60%	60%	Titanitgelb	Titanite yellow	designplus-470	
H090L70C10	90°	70%	10%	Staubgelb	Dusty yellow	designplus-471	
H090L70C20	90°	70%	20%	Barbadosbeige	Barbados beige	designplus-472	
H090L70C30	90°	70%	30%	Rhabarberblattgrün	Rhubarb leaf green	designplus-473	
H090L70C40	90°	70%	40%	Igelkaktusgelbgrün	Hedgehog cactus yellow green	designplus-474	
H090L70C50	90°	70%	50%	Stachelbeergelb	Gooseberry yellow	designplus-475	
H090L70C60	90°	70%	60%	Knospengrün	Bud green	designplus-476	
H090L70C70	90°	70%	70%	Birkenkätzchengelb	Catkin yellow	designplus-477	
H090L70C80	90°	70%	80%	Prehnitgelb	Prehnite yellow	designplus-478	
H090L80C10	90°	80%	10%	Hellbeige	Light beige	designplus-479	
H090L80C20	90°	80%	20%	Champagnerbeige	Champagne beige	designplus-480	
H090L80C30	90°	80%	30%	Zitronensorbetgelb	Lemon sorbet yellow	designplus-481	
H090L80C40	90°	80%	40%	Blütengelb	Blossom yellow	designplus-482	
H090L80C50	90°	80%	50%	Tasmanhoniggelb	Tasman honey yellow	designplus-483	
H090L80C60	90°	80%	60%	Neugelb	New yellow	designplus-484	
H090L80C70	90°	80%	70%	Fashiongelb	Fashion yellow	designplus-485	
H090L80C80	90°	80%	80%	Plakatgelb	Poster yellow	designplus-486	
H090L80C90	90°	80%	90%	Kontrastgelb	Contrasting yellow	designplus-487	
H090L85C05	90°	85%	5%	Pfefferweiß	Pepper white	designplus-488	
H090L85C10	90°	85%	10%	Paellanaturweiß	Paella natural white	designplus-489	
H090L85C20	90°	85%	20%	Cidregelb	Cider yellow	designplus-490	
H090L85C30	90°	85%	30%	Palmzuckergelb	Palm sugar yellow	designplus-491	
H090L85C40	90°	85%	40%	Märzgelb	March yellow	designplus-492	
H090L85C50	90°	85%	50%	Pirolgelb	Oriole yellow	designplus-493	
H090L90C05	90°	90%	5%	Marzipanweiß	Marzipan white	designplus-494	
H090L90C10	90°	90%	10%	Primelweiß	Primrose white	designplus-495	
H090L90C20	90°	90%	20%	Cremegelb	Cream yellow	designplus-496	
H090L90C30	90°	90%	30%	Wachsgelb	Wax yellow	designplus-497	
H090L90C40	90°	90%	40%	Zitronencreme	Lemon cream	designplus-498	
H090L90C50	90°	90%	50%	Tigergelb	Tiger yellow	designplus-499	
H090L90C60	90°	90%	60%	Sonnenröschengelb	Sunrose yellow	designplus-500	
H090L93C05	90°	93%	5%	Sahneweiß	Cream white	designplus-501	
H095L40C10	95°	40%	10%	Schattengrün	Shady green	designplus-502	
H095L40C20	95°	40%	20%	Waldgrün	Forest green	designplus-503	
H095L40C30	95°	40%	30%	Bohnengrün	Bean green	designplus-504	
H095L50C10	95°	50%	10%	Stumpfoliv	Dull olive	designplus-505	
H095L50C20	95°	50%	20%	Kohlgrün	Cabbage green	designplus-506	
H095L50C30	95°	50%	30%	Kaperngrün	Caper green	designplus-507	
H095L50C40	95°	50%	40%	Gartensalatgrün	Garden lettuce green	designplus-508	
H095L50C50	95°	50%	50%	Artischockengrün	Artichoke green	designplus-509	
H095L60C10	95°	60%	10%	Bleichgrüngrau	Pale green grey	designplus-510	
H095L60C20	95°	60%	20%	Blassgrün	Pale green	designplus-511	
H095L60C30	95°	60%	30%	Zypressengrün	Cypress green	designplus-512	
H095L60C40	95°	60%	40%	Traubengrün	Grape green	designplus-513	
H095L60C50	95°	60%	50%	Stachelbeergrün	Gooseberry green	designplus-514	
H095L60C60	95°	60%	60%	Guavenfruchtgrün	Guava green	designplus-515	
H095L60C70	95°	60%	70%	Romanescogrün	Romaine green	designplus-516	
H095L70C10	95°	70%	10%	Sandgrau	Sand grey	designplus-517	
H095L70C20	95°	70%	20%	Krokodilgrün	Crocodile green	designplus-518	
H095L70C30	95°	70%	30%	Chicoréegrün	Chicory green	designplus-519	
H095L70C40	95°	70%	40%	Bananengrün	Banana green	designplus-520	
H095L70C50	95°	70%	50%	Sternfruchtgelbgrün	Star fruit yellow green	designplus-521	
H095L70C60	95°	70%	60%	Papayagelbgrün	Papaya yellow green	designplus-522	
H095L70C70	95°	70%	70%	Bronzegrün	Bronze green	designplus-523	
H095L80C10	95°	80%	10%	Saphirlichtgelb	Sapphire light yellow	designplus-524	
H095L80C20	95°	80%	20%	Blassoliv	Pale olive	designplus-525	
H095L80C30	95°	80%	30%	Spargelgelb	Asparagus yellow	designplus-526	
H095L80C40	95°	80%	40%	Erbsengrün	Pea green	designplus-527	
H095L80C50	95°	80%	50%	Williamsbirnengelb	Williams pear yellow	designplus-528	
H095L80C60	95°	80%	60%	Grünlichgelb	Greenish yellow	designplus-529	
H095L80C70	95°	80%	70%	Mimosengelb	Mimosa yellow	designplus-530	
H095L80C80	95°	80%	80%	Sorbetgelb	Sorbet yellow	designplus-531	
H095L85C10	95°	85%	10%	Schwarzwurzelweiß	Salsify white	designplus-532	
H095L85C20	95°	85%	20%	Trübhellgelb	Dull light yellow	designplus-533	
H095L85C30	95°	85%	30%	Blattgelb	Leaf yellow	designplus-534	
H095L85C40	95°	85%	40%	Naturgelb	Natural yellow	designplus-535	
H095L85C50	95°	85%	50%	Sportgelb	Sport yellow	designplus-536	
H095L90C10	95°	90%	10%	Atlasweiß	Atlas white	designplus-537	
H095L90C20	95°	90%	20%	Perlgelb	Pearl yellow	designplus-538	
H095L90C30	95°	90%	30%	Zitroneneisgelb	Lemon ice yellow	designplus-539	
H095L90C40	95°	90%	40%	Frischgelb	Fresh yellow	designplus-540	
H095L90C50	95°	90%	50%	Leuchtendgelb	Luminous yellow	designplus-541	
H095L90C59	95°	90%	59%	Dynamischgelb	Dynamic yellow	designplus-542	
H095L93C05	95°	93%	5%	Kreppseidenweiß	Crepe silk white	designplus-543	
H100L20C05	100°	20%	5%	Nachtgrün	Night green	designplus-544	
H100L30C05	100°	30%	5%	Vulkansteingrün	Volcanic stone green	designplus-545	
H100L30C10	100°	30%	10%	Zinnobergrün	Vermilion green	designplus-546	
H100L30C20	100°	30%	20%	Uniformgrün	Uniform green	designplus-547	
H100L40C05	100°	40%	5%	Taubengrau	Dove grey	designplus-548	
H100L40C10	100°	40%	10%	Schlickgrün	Slick green	designplus-549	
H100L40C20	100°	40%	20%	Brokkoligrün	Broccoli green	designplus-550	
H100L40C30	100°	40%	30%	Hochwaldgrün	High forest green	designplus-551	
H100L40C40	100°	40%	40%	Rosenkohlgrün	Brussels sprout green	designplus-552	
H100L50C05	100°	50%	5%	Waldbodenkhaki	Forest floor khaki	designplus-553	
H100L50C10	100°	50%	10%	Kiebitzgraugrün	Lapwing grey green	designplus-554	
H100L50C20	100°	50%	20%	Grünspechtoliv	Green woodpecker olive	designplus-555	
H100L50C30	100°	50%	30%	Steppengrün	Steppe green	designplus-556	
H100L50C40	100°	50%	40%	Faiencegrün	Faience green	designplus-557	
H100L50C50	100°	50%	50%	Werkzeuggrün	Tool green	designplus-558	
H100L60C05	100°	60%	5%	Rauchgraugrün	Smoky grey green	designplus-559	
H100L60C10	100°	60%	10%	Olivingrau	Olivine grey	designplus-560	
H100L60C20	100°	60%	20%	Grauspechtgrün	Grey-headed woodpecker green	designplus-561	
H100L60C30	100°	60%	30%	Kardamomgrün	Cardamom green	designplus-562	
H100L60C40	100°	60%	40%	Salatgrün	Lettuce green	designplus-563	
H100L60C50	100°	60%	50%	Artnouveaugrün	Art Nouveau green	designplus-564	
H100L60C60	100°	60%	60%	Smoothiegrün	Smoothie green	designplus-565	
H100L70C05	100°	70%	5%	Rauchweiß	Smoky white	designplus-566	
H100L70C10	100°	70%	10%	Anisgraugelb	Anise grey yellow	designplus-567	
H100L70C20	100°	70%	20%	Sandbraun	Sand brown	designplus-568	
H100L70C30	100°	70%	30%	Hippiegrün	Hippie green	designplus-569	
H100L70C40	100°	70%	40%	Lindgrün	Linden green	designplus-570	
H100L70C50	100°	70%	50%	Dillgrün	Dill green	designplus-571	
H100L70C60	100°	70%	60%	Neugrün	New green	designplus-572	
H100L80C05	100°	80%	5%	Naturgrau	Natural grey	designplus-573	
H100L80C10	100°	80%	10%	Blassbeige	Pale beige	designplus-574	
H100L80C20	100°	80%	20%	Weichgrün	Soft green	designplus-575	
H100L80C30	100°	80%	30%	Silbergrün	Silver green	designplus-576	
H100L80C40	100°	80%	40%	Märztulpengrün	March tulip green	designplus-577	
H100L80C50	100°	80%	50%	Leichtoliv	Light olive	designplus-578	
H100L80C60	100°	80%	60%	Reklamegrün	Advertisement green	designplus-579	
H100L80C70	100°	80%	70%	LEDgrün	LED green	designplus-580	
H100L80C80	100°	80%	80%	Märzgrün	March green	designplus-581	
H100L85C05	100°	85%	5%	Sellerieweiß	Celery white	designplus-582	
H100L85C10	100°	85%	10%	Palmherzencreme	Palm heart cream	designplus-583	
H100L85C20	100°	85%	20%	Beigegrün	Beige green	designplus-584	
H100L85C30	100°	85%	30%	Kristallgelb	Crystal yellow	designplus-585	
H100L90C05	100°	90%	5%	Brillantgelb	Brilliant yellow	designplus-586	
H100L90C10	100°	90%	10%	Holunderweiß	Elderberry white	designplus-587	
H100L90C20	100°	90%	20%	Designercremegelb	Designer cream yellow	designplus-588	
H100L90C30	100°	90%	30%	Buchsbaumgelb	Boxwood yellow	designplus-589	
H100L90C40	100°	90%	40%	Primelgelb	Primrose yellow	designplus-590	
H100L90C50	100°	90%	50%	Frühlingsgelb	Spring yellow	designplus-591	
H100L93C05	100°	93%	5%	Nebelweiß	Fog white	designplus-592	
H110L20C10	110°	20%	10%	Metallbaugrün	Metal construction green	designplus-593	
H110L30C10	110°	30%	10%	Dunkelolivgrün	Dark olive green	designplus-594	
H110L30C20	110°	30%	20%	Norialgenschwarzgrün	Nori seaweed green	designplus-595	
H110L40C10	110°	40%	10%	Stumpfgrün	Stump green	designplus-596	
H110L40C20	110°	40%	20%	Antikgrün	Antique green	designplus-597	
H110L40C30	110°	40%	30%	Gärtnergrün	Gardener green	designplus-598	
H110L40C40	110°	40%	40%	Kirchnergrün	Kirchner green	designplus-599	
H110L50C10	110°	50%	10%	Novembergrün	November green	designplus-600	
H110L50C20	110°	50%	20%	Alexandritgrün	Alexandrite green	designplus-601	
H110L50C30	110°	50%	30%	Pflanzengrün	Plant green	designplus-602	
H110L50C40	110°	50%	40%	Reifegrün	Ripe green	designplus-603	
H110L50C50	110°	50%	50%	Portugalgrün	Portuguese green	designplus-604	
H110L50C55	110°	50%	55%	Flaggengrün	Flag green	designplus-605	
H110L60C10	110°	60%	10%	Graugrün	Grey green	designplus-606	
H110L60C20	110°	60%	20%	Erbsenschotengrün	Peapod green	designplus-607	
H110L60C30	110°	60%	30%	Indischgrün	Indian green	designplus-608	
H110L60C40	110°	60%	40%	Blatterbsengrün	Winterpea green	designplus-609	
H110L60C50	110°	60%	50%	Airlinegrün	Airline green	designplus-610	
H110L60C60	110°	60%	60%	Waldmeistergrün	Woodruff green	designplus-611	
H110L60C65	110°	60%	65%	Ampelgrün	Traffic light green	designplus-612	
H110L70C10	110°	70%	10%	Chinateegrün	Chinese tea green	designplus-613	
H110L70C20	110°	70%	20%	Wandgrün	Wall green	designplus-614	
H110L70C30	110°	70%	30%	Wasabigrün	Wasabi green	designplus-615	
H110L70C40	110°	70%	40%	Aprilgrün	April green	designplus-616	
H110L70C50	110°	70%	50%	Delaunaygrün	Delaunay green	designplus-617	
H110L70C60	110°	70%	60%	Limettengrün	Lime green	designplus-618	
H110L70C70	110°	70%	70%	Chlorophyllgrün	Chlorophyll green	designplus-619	
H110L70C77	110°	70%	77%	Markergrün	Marker green	designplus-620	
H110L80C10	110°	80%	10%	Frühlingsgrau	Spring grey	designplus-621	
H110L80C20	110°	80%	20%	Minzeisgrün	Mint ice green	designplus-622	
H110L80C30	110°	80%	30%	Lenzgrün	Springtide green	designplus-623	
H110L80C40	110°	80%	40%	Limettensorbetgrün	Lime sorbet green	designplus-624	
H110L80C50	110°	80%	50%	Ostergrün	Easter green	designplus-625	
H110L80C60	110°	80%	60%	Clowngrün	Clown green	designplus-626	
H110L80C70	110°	80%	70%	Saftgrün	Juice green	designplus-627	
H110L85C10	110°	85%	10%	Veltlinerweiß	Veltliner white	designplus-628	
H110L85C20	110°	85%	20%	Kohlrabigrün	Kohlrabi green	designplus-629	
H110L85C30	110°	85%	30%	Burgundergrau	Burgundy grey	designplus-630	
H110L85C40	110°	85%	40%	Wachsgrün	Wax green	designplus-631	
H110L85C50	110°	85%	50%	Sprossengrün	Sprout green	designplus-632	
H110L90C05	110°	90%	5%	Baumwollweiß	Cotton white	designplus-633	
H110L90C10	110°	90%	10%	Farnhellgrün	Light fern green	designplus-634	
H110L90C20	110°	90%	20%	Lilienduftgrün	Lily scent green	designplus-635	
H110L90C30	110°	90%	30%	Kiwieisgrün	Kiwi ice cream green	designplus-636	
H110L90C40	110°	90%	40%	Limettensaftgrün	Lime juice green	designplus-637	
H110L93C05	110°	93%	5%	Bastweiß	Raffia white	designplus-638	
H110L96C02	110°	96%	2%	Waschweiß	Laundry white	designplus-639	
H120L30C05	120°	30%	5%	Racinggrün	Racing green	designplus-640	
H120L30C10	120°	30%	10%	Landhausgrün	Country house green	designplus-641	
H120L30C20	120°	30%	20%	Avocadodunkelgrün	Avocado dark green	designplus-642	
H120L40C05	120°	40%	5%	Englischgrün	English green	designplus-643	
H120L40C10	120°	40%	10%	Mandelgrün	Almond green	designplus-644	
H120L40C20	120°	40%	20%	Kaktusgrün	Cactus green	designplus-645	
H120L40C30	120°	40%	30%	Basilikumgrün	Basil green	designplus-646	
H120L40C40	120°	40%	40%	Paprikagrün	Pepper green	designplus-647	
H120L50C05	120°	50%	5%	Rauchgrün	Smoke green	designplus-648	
H120L50C10	120°	50%	10%	Samtgrüngrau	Velvet green grey	designplus-649	
H120L50C20	120°	50%	20%	Papageiengrün	Parrot green	designplus-650	
H120L50C30	120°	50%	30%	Quarzgrün	Quartz green	designplus-651	
H120L50C40	120°	50%	40%	Heckengrün	Hedge green	designplus-652	
H120L50C50	120°	50%	50%	Birkenblattgrün	Birch leaf green	designplus-653	
H120L60C05	120°	60%	5%	Bläulichgrau	Bluish grey	designplus-654	
H120L60C10	120°	60%	10%	Lavendelblattgrün	Lavender leaf green	designplus-655	
H120L60C20	120°	60%	20%	Mostbirnengrün	Cider pear green	designplus-656	
H120L60C30	120°	60%	30%	Vesuviangrün	Vesuvian green	designplus-657	
H120L60C40	120°	60%	40%	Bambusgrasgrün	Bamboo grass green	designplus-658	
H120L60C50	120°	60%	50%	Aloeveragrün	Aloe vera green	designplus-659	
H120L60C60	120°	60%	60%	Mambagrün	Mamba green	designplus-660	
H120L60C63	120°	60%	63%	Leuchtendgrün	Luminescent green	designplus-661	
H120L70C05	120°	70%	5%	Lorbeergrau	Laurel grey	designplus-662	
H120L70C10	120°	70%	10%	Nilgrün	Nile green	designplus-663	
H120L70C20	120°	70%	20%	Filigrangrün	Filigree green	designplus-664	
H120L70C30	120°	70%	30%	Serpentingrün	Serpentine green	designplus-665	
H120L70C40	120°	70%	40%	Birkenhellgrün	Light birch green	designplus-666	
H120L70C50	120°	70%	50%	Waldrebengrün	Clematis green	designplus-667	
H120L70C60	120°	70%	60%	Turmalingrün	Tourmaline green	designplus-668	
H120L70C70	120°	70%	70%	Cocktailgrün	Cocktail green	designplus-669	
H120L70C75	120°	70%	75%	Brillantgrün	Brilliant green	designplus-670	
H120L80C05	120°	80%	5%	Staubgrün	Dust green	designplus-671	
H120L80C10	120°	80%	10%	Jugendstilgrün	Jugendstil green	designplus-672	
H120L80C20	120°	80%	20%	Avocadocreme	Avocado cream	designplus-673	
H120L80C30	120°	80%	30%	Naturgrün	Natural green	designplus-674	
H120L80C40	120°	80%	40%	Sommergrün	Summer green	designplus-675	
H120L80C50	120°	80%	50%	Modegrün	Fashion green	designplus-676	
