URL	ID	DE	EN	FR	ES	IT	NL
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-135.png	RAL 6032	Signalgrün	Signal green	Vert de sécurité	Verde señales	Verde segnale	Signaalgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-136.png	RAL 6033	Minttürkis	Mint turquoise	Turquoise menthe	Turquesa menta	Turchese menta	Mintturquoise
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-137.png	RAL 6034	Pastelltürkis	Pastel turquoise	Turquoise pastel	Turquesa pastel	Turchese pastello	Pastelturquoise
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-138.png	RAL 6035	Perlgrün	Pearl green	Vert nacré	Verde perlado	Verde perlato	Parelmoer donkergroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-139.png	RAL 6036	Perlopalgrün	Pearl opal green	Vert opal nacré	Verde ópalo perlado	Verde opalo perlato	Parelmoer lichtgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-140.png	RAL 6037	Reingrün	Pure green	Vert pur	Verde puro 	Verde puro	Zuiver groen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-141.png	RAL 6038	Leuchtgrün	Luminous green	Vert brillant	Verde brillante 	Verde brillante	Briljantgroen
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-142.png	RAL 7000	Fehgrau	Squirrel grey	Gris petit-gris	Gris ardilla	Grigio vaio	Pelsgrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-143.png	RAL 7001	Silbergrau	Silver grey	Gris argent	Gris plata	Grigio argento	Zilvergrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-144.png	RAL 7002	Olivgrau	Olive grey	Gris olive	Gris oliva	Grigio olivastro	Olijfgrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-145.png	RAL 7003	Moosgrau	Moss grey	Gris mousse	Gris musgo	Grigio muschio	Mosgrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-146.png	RAL 7004	Signalgrau	Signal grey	Gris de sécurité	Gris señales	Grigio segnale	Signaalgrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-147.png	RAL 7005	Mausgrau	Mouse grey	Gris souris	Gris ratón	Grigio topo	Muisgrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-148.png	RAL 7006	Beigegrau	Beige grey	Gris beige	Gris beige	Grigio beige	Beigegrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-149.png	RAL 7008	Khakigrau	Khaki grey	Gris kaki	Gris caqui	Grigio kaki	Kakigrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-150.png	RAL 7009	Grüngrau	Green grey	Gris vert	Gris verdoso	Grigio verdastro	Groengrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-151.png	RAL 7010	Zeltgrau	Tarpaulin grey	Gris tente	Gris lona	Grigio tenda	Zeildoekgrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-152.png	RAL 7011	Eisengrau	Iron grey	Gris fer	Gris hierro	Grigio ferro	IJzergrijs
https://www.ral-farben.de/out/ralfarben/img/thumbs/classic-153.png	RAL 7012	Basaltgrau	Basalt grey	Gris basalte	Gris basalto	Grigio basalto	Bazaltgrijs
